iter	Passed	Remaining
0	49	49105
1	49	24758
2	50	16667
3	50	12581
4	50	10126
5	51	8492
6	51	7326
7	52	6475
8	52	5794
9	53	5247
10	53	4799
11	53	4426
12	54	4110
13	54	3839
14	54	3604
15	55	3400
16	55	3219
17	56	3058
18	56	2913
19	56	2783
20	57	2667
21	57	2562
22	57	2458
23	58	2369
24	58	2286
25	59	2211
26	59	2140
27	59	2071
28	60	2010
29	60	1954
30	60	1901
31	61	1850
32	61	1803
33	61	1760
34	62	1718
35	62	1679
36	63	1642
37	63	1607
38	64	1578
39	64	1548
40	64	1519
41	65	1490
42	65	1459
43	65	1433
44	66	1408
45	66	1381
46	67	1358
47	67	1337
48	67	1317
49	68	1297
50	68	1277
51	68	1255
52	69	1236
53	69	1219
54	70	1205
55	70	1190
56	71	1175
57	71	1161
58	71	1147
59	72	1133
60	72	1121
61	73	1109
62	73	1098
63	74	1087
64	74	1076
65	75	1065
66	75	1053
67	76	1042
68	76	1031
69	76	1021
70	77	1011
71	77	1001
72	78	996
73	79	991
74	79	983
75	80	976
76	80	967
77	81	958
78	81	950
79	81	941
80	82	934
81	82	926
82	83	918
83	83	911
84	83	904
85	84	902
86	86	903
87	86	897
88	87	891
89	87	885
90	87	878
91	88	872
92	89	869
93	89	863
94	89	857
95	90	851
96	90	843
97	90	837
98	91	831
99	91	826
100	92	820
101	92	816
102	93	814
103	94	815
104	95	810
105	95	805
106	95	800
107	96	795
108	96	790
109	97	785
110	97	780
111	97	775
112	98	769
113	98	764
114	98	760
115	99	755
116	99	750
117	99	746
118	100	742
119	100	737
120	100	732
121	101	729
122	101	725
123	102	720
124	102	716
125	102	713
126	103	709
127	103	704
128	103	701
129	104	697
130	104	694
131	105	690
132	105	687
133	105	683
134	106	680
135	106	676
136	106	673
137	107	670
138	107	666
139	107	663
140	108	660
141	108	657
142	109	654
143	109	651
144	109	648
145	110	645
146	110	642
147	111	639
148	111	637
149	111	634
150	112	631
151	112	629
152	113	626
153	113	623
154	113	621
155	114	618
156	114	616
157	115	613
158	115	611
159	115	608
160	116	607
161	117	606
162	117	604
163	118	602
164	118	599
165	118	597
166	119	593
167	119	591
168	119	589
169	120	587
170	120	584
171	121	582
172	121	580
173	121	578
174	122	575
175	122	573
176	122	571
177	123	569
178	123	567
179	124	565
180	124	563
181	124	561
182	125	559
183	125	557
184	126	555
185	126	553
186	126	551
187	127	549
188	127	547
189	127	545
190	128	543
191	128	541
192	129	539
193	129	537
194	129	535
195	130	533
196	130	532
197	130	529
198	131	527
199	131	526
200	131	524
201	132	522
202	132	521
203	133	519
204	133	518
205	133	516
206	134	514
207	134	512
208	135	511
209	135	509
210	135	507
211	136	505
212	136	503
213	136	502
214	136	500
215	137	498
216	137	496
217	137	494
218	138	493
219	138	491
220	138	489
221	139	487
222	139	486
223	139	484
224	140	482
225	140	481
226	140	479
227	141	477
228	141	476
229	141	474
230	142	473
231	142	471
